ID	Cat	Site_ID	AKB	E_coord	N_coord	CK	StoneWalls	Pithoi	Мillstones	Area_daa	SiteOffsite	Type	Relative	Absolute	Кат	Полеви	АКБ	X	Y	СК	Зидове	Питоси	Хромели	дка	Вид	Абсолютна	Област	Община	Землище	Топоним	Експедиция	Година_на_регистрация	Начин_на_добиване_на_данните	Начин_на_локализация_и_достоверност_на_координатите	Релативна	Пра.	Палео.	Нео.	РНео.	СНео.	КНео.	Х	РХ	КХ	БЕ	РБЕ	РБЕ1	РБЕ2	РБЕ3	СБЕ	КБЕ	ЖЕ	РЖЕ	РЖЕ1	РЖЕ2	КЖЕ	КЖЕ1	КЖЕ2	А	К	Ел.	РЕл.	КЕл.	РЕ	КА	КРЕ	РВ	Ср.	РСр.	ЗСр.	КСр.	ПБЦ	ВБЦ	Възраждане	Неопр.	Н.в.	Хипсометрия	Експозиция_код	Експозиция	Наклон	СР2201	СР2202	СР2203	СР2204	СР2205	СР2206	СР2207	СР2208	СР2209	СР2210	СР2211	СР2212	СР2022	Форми_релеф_код	Форми_релефа	Параметри_релеф_код	Параметри_релеф	Почви_код	Почви	Възраст_скали_код	Възраст_скали	Литология_скали_код	Литология_скали	Разстояние_Тунджа_3D	Разстояние_Тунджа_2D	Разстояние_Севтополис_3D	Разстояние_Севтополис_2D	Разстояние_извори_3D	Разстояние_извори_2D	Разстояние_реки_3D	Разстояние_реки_2D	PREHIST	PALEO	NEO	EarlyNEO	MidNEO	LateNEO	CHALCO	EarlyCHALCO	LateCHALCO	BA	EBA	EBA1	EBA2	EBA3	MBA	LBA	IA	EIA	EIA1	EIA2	LIA	LIA1	LIA2	ANTIQ	CLASSICAL	HELLEN	EarlyHELLEN	LateHELLEN	RP	LA	LRP	EByz	MA	EMA	HMA	LMA	1BK	2BK	Renaissance	UNIDENT.	Elevation	Aspect	Slope	ASR2201	ASR2202	ASR2203	ASR2204	ASR2205	ASR2206	ASR2207	ASR2208	ASR2209	ASR2210	ASR2211	ASR2212	ASR2022	Geomorphon	Paramscale	Soils	GeoSeries	GeoLitho	TonsBank3D	TonsBanks2D	Seuto3D	Seuto2D	Spring3D	Spring2D	Rivers3D	Rivers2D
442	24		10005732	25,073522000	42,503984000	NA	NA	NA	NA	NA		Mound	Неопр.		24		10005732	25,073522000	42,503984000	нд	нд	нд	нд	нд	Могила		Стара Загора	Павел баня	Александрово				Теренни издирвания	Посетен на терен и точно поставени координати	Неопр.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1073	Среднопланински	9	СЗ	3	30516	50029	98493	141592	183370	191536	190577	159596	112369	64004	33991	24101	1280175	3	Било	1	Равен	5	Кафяви горски	11	Високостепенни метаморфни (палеозой)	2	Метаморфни	10172	10001	22871	22647	236	221	789	683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1073	9	3	30516	50029	98493	141592	183370	191536	190577	159596	112369	64004	33991	24101	1280175	3	1	5	11	2	10172	10001	22871	22647	236	221	789	683
443	25		10005733	25,073505000	42,503918000	NA	NA	NA	NA	NA		Mound	КЖЕ		25		10005733	25,073505000	42,503918000	нд	нд	нд	нд	нд	Могила		Стара Загора	Павел баня	Александрово				Теренни издирвания	Посетен на терен и точно поставени координати	КЖЕ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1073	Среднопланински	9	СЗ	2	30516	50029	98493	141592	183370	191536	190577	159596	112369	64004	33991	24101	1280175	3	Било	1	Равен	5	Кафяви горски	11	Високостепенни метаморфни (палеозой)	2	Метаморфни	10180	10008	22883	22652	230	214	788	681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1073	9	2	30516	50029	98493	141592	183370	191536	190577	159596	112369	64004	33991	24101	1280175	3	1	5	11	2	10180	10008	22883	22652	230	214	788	681
444	26		10005734	25,073857000	42,503810000	NA	NA	NA	NA	NA		Mound	Неопр.		26		10005734	25,073857000	42,503810000	нд	нд	нд	нд	нд	Могила		Стара Загора	Павел баня	Александрово				Теренни издирвания	Посетен на терен и точно поставени координати	Неопр.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1073	Среднопланински	2	С	1	31334	51067	99876	142813	184277	192213	191386	160757	113756	65206	34856	24801	1292342	3	Било	5	Изпъкнал	5	Кафяви горски	11	Високостепенни метаморфни (палеозой)	2	Метаморфни	10181	10017	22861	22634	239	225	758	650	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1073	2	1	31334	51067	99876	142813	184277	192213	191386	160757	113756	65206	34856	24801	1292342	3	5	5	11	2	10181	10017	22861	22634	239	225	758	650
101	939			25,606656000	42,639096000	NA	NA	NA	NA	NA		Road?	Неопр.		939			25,606656000	42,639096000	нд	нд	нд	нд	нд	Път?		Стара Загора	Мъглиж	Дъбово	Горния гидик			Топонимия	Топографска карта М 1:5000	Неопр.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1081	Среднопланински	3	СИ	14	26807	45080	91191	133986	176099	184982	183539	151832	104769	58145	30034	20983	1207447	6	Склон	5	Изпъкнал	5	Кафяви горски	12	Интрузивни магмени (горен палеозой)	3	Интрузивни магмени	8022	7807	25145	24704	1272	1033	283	236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1081	3	14	26807	45080	91191	133986	176099	184982	183539	151832	104769	58145	30034	20983	1207447	6	5	5	12	3	8022	7807	25145	24704	1272	1033	283	236
450	1465		10005738	25,073260000	42,501451000	NA	NA	NA	NA	NA		Mound	Неопр.		1465		10005738	25,073260000	42,501451000	нд	нд	нд	нд	нд	Могила		Пловдив	Брезово	Свежен				Теренни издирвания	Посетен на терен и точно поставени координати	Неопр.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1083	Среднопланински	9	СЗ	5	32811	52874	102105	144490	185117	192556	191995	162224	115915	67263	36407	26075	1309832	2	Връх	5	Изпъкнал	5	Кафяви горски	11	Високостепенни метаморфни (палеозой)	2	Метаморфни	10448	10283	23034	22821	175	159	744	610	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1083	9	5	32811	52874	102105	144490	185117	192556	191995	162224	115915	67263	36407	26075	1309832	2	5	5	11	2	10448	10283	23034	22821	175	159	744	610
449	31		10005737	25,073701000	42,501255000	NA	NA	NA	NA	NA		Mound	Неопр.		31		10005737	25,073701000	42,501255000	нд	нд	нд	нд	нд	Могила		Стара Загора	Павел баня	Александрово				Теренни издирвания	Посетен на терен и точно поставени координати	Неопр.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1085	Среднопланински	8	З	3	33048	53196	102602	145045	185696	193106	192570	162803	116444	67650	36660	26274	1315093	2	Връх	5	Изпъкнал	5	Кафяви горски	11	Високостепенни метаморфни (палеозой)	2	Метаморфни	10457	10300	23011	22803	218	201	704	571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1085	8	3	33048	53196	102602	145045	185696	193106	192570	162803	116444	67650	36660	26274	1315093	2	5	5	11	2	10457	10300	23011	22803	218	201	704	571
448	30		10005736	25,073980000	42,501283000	NA	NA	NA	NA	NA		Mound	Неопр.		30		10005736	25,073980000	42,501283000	нд	нд	нд	нд	нд	Могила		Стара Загора	Павел баня	Александрово				Теренни издирвания	Посетен на терен и точно поставени координати	Неопр.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1085	Среднопланински	4	И	2	32659	52735	102078	144739	185693	193262	192646	162584	115958	67133	36254	25936	1311677	2	Връх	5	Изпъкнал	5	Кафяви горски	11	Високостепенни метаморфни (палеозой)	2	Метаморфни	10445	10295	22993	22783	234	217	684	549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1085	4	2	32659	52735	102078	144739	185693	193262	192646	162584	115958	67133	36254	25936	1311677	2	5	5	11	2	10445	10295	22993	22783	234	217	684	549
451	1436		10006389	25,132202000	42,498190000	NA	NA	NA	NA	NA		Mound	Неопр.		1436		10006389	25,132202000	42,498190000	нд	нд	нд	нд	нд	Могила		Пловдив	Брезово	Розово		Верификацяи 2018		Теренни издирвания	Посетен на терен и точно поставени координати	Неопр.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1089	Среднопланински	7	ЮЗ	9	38045	59391	110465	151327	189407	195234	195558	168483	124163	74748	41921	30571	1379313	5	Седловина	5	Изпъкнал	5	Кафяви горски	11	Високостепенни метаморфни (палеозой)	2	Метаморфни	11061	10844	19588	19248	448	388	591	490	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1089	7	9	38045	59391	110465	151327	189407	195234	195558	168483	124163	74748	41921	30571	1379313	5	5	5	11	2	11061	10844	19588	19248	448	388	591	490
251	833			25,492101000	42,680896000	NA	NA	NA	NA	NA		Mound	Неопр.		833			25,492101000	42,680896000	нд	нд	нд	нд	нд	Могила		Стара Загора	Казанлък	Долно Изворово	Конанките			Топография	Топографска карта М 1:50 000	Неопр.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1106	Среднопланински	6	Ю	16	44504	67075	119439	157048	190556	193932	195519	172932	132610	83399	48667	36184	1441865	6	Склон	1	Равен	5	Кафяви горски	12	Интрузивни магмени (горен палеозой)	3	Интрузивни магмени	12750	12635	16879	16756	458	331	412	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1106	6	16	44504	67075	119439	157048	190556	193932	195519	172932	132610	83399	48667	36184	1441865	6	1	5	12	3	12750	12635	16879	16756	458	331	412	290
127	1432		2100746	25,124083330	42,499388890	y	y	NA	NA	10		Fortress	Ел.	Ср. IV в. пр. Хр.	1432		2100746	25,124083330	42,499388890	да	да	нд	нд	10	Крепост	Ср. IV в. пр. Хр.	Пловдив	Брезово	Розовец	Сливово градище	Верификацяи 2018		Теренни издирвания	Посетен на терен и точно поставени координати	Ел.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1114	Среднопланински	9	СЗ	9	30308	49686	97850	140751	182386	190560	189580	158682	111652	63571	33759	23941	1272726	2	Връх	5	Изпъкнал	5	Кафяви горски	11	Високостепенни метаморфни (палеозой)	2	Метаморфни	10808	10608	19999	19653	332	280	617	488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1114	9	9	30308	49686	97850	140751	182386	190560	189580	158682	111652	63571	33759	23941	1272726	2	5	5	11	2	10808	10608	19999	19653	332	280	617	488
432	1976			25,360751000	42,727167000	NA	NA	NA	NA	NA		Road	Неопр.		1976			25,360751000	42,727167000	нд	нд	нд	нд	нд	Път		Стара Загора	Казанлък	Шипка	Градишка могила			Литературни данни	По описание в посочената публикация и топонимията	Неопр.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1121	Среднопланински	1	Равен терен	19	30379	49292	95927	136724	176025	183450	182741	153781	109155	62821	33751	24079	1238125	3	Било	5	Изпъкнал	5	Кафяви горски	15	Алувиални и пролувиални отложения (кватернер)	1	Седиментни	12838	12733	13022	12925	766	606	691	501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1121	1	19	30379	49292	95927	136724	176025	183450	182741	153781	109155	62821	33751	24079	1238125	3	5	5	15	1	12838	12733	13022	12925	766	606	691	501
28	1925	1033	10000092	25,359626920	42,727131840	y	y	y	NA	10	Site	Fortress?	РЕл.	Oт 2⁄2 IV в. пр. Хр.	1925	1033	10000092	25,359626920	42,727131840	да	да	да	нд	10	Крепост?	Oт 2⁄2 IV в. пр. Хр.	Стара Загора	Казанлък	Шипка	Градишка могила/ Градищица/ Градешница	Казанлък 2010	2010	Теренни издирвания	Посетен на терен и точно поставени координати	РЕл.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1127	Среднопланински	8	З	19	30618	49929	97751	139989	180835	188721	187850	157630	111397	63759	34060	24227	1266766	2	Връх	5	Изпъкнал	5	Кафяви горски	15	Алувиални и пролувиални отложения (кватернер)	1	Седиментни	12806	12702	12997	12890	790	613	595	416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1127	8	19	30618	49929	97751	139989	180835	188721	187850	157630	111397	63759	34060	24227	1266766	2	5	5	15	1	12806	12702	12997	12890	790	613	595	416
