"","Cat","E_coord","N_coord","Вид","КБЕ","РЕ","КРЕ","Праистория","Неолит","Халколит","Бронз","Раннобронзова","Желязна","Ранножелязна","Късножелязна","Елинизъм","Късноантична","СредновековиеXIV","СредновековиеXVII","Ранноср.","Зрялоср.","КСр."
"173",1309,25.794085,42.633436,"Селище",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"174",1312,25.76781,42.626837,"Светилище?",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"175",1315,25.774711,42.620935,"Селище",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"176",1319,25.441309,42.60217,"Селище",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"177",1320,25.447317,42.578436,"Селище",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"178",1325,25.026709,42.611974,"Селище",0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0
"179",1338,25.050451,42.584959,"Селище",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"180",1345,25.030545,42.598593,"Селище",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"181",1362,25.040194,42.581306,"Стопанство",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"182",1363,25.028784,42.55962,"Селище?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"183",1366,25.18490777,42.6185131,"Селище",0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
"184",1370,25.197275,42.632569,"Селище",0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
"185",1371,25.200028,42.626024,"Селище",0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0
"186",1372,25.206538,42.619064,"Селище",0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0
"187",1377,25.197797,42.619269,"Селище",0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0
"188",1378,25.205639,42.615442,"Селище",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"189",1380,25.217534,42.597921,"Селище",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"190",1384,25.21946,42.550575,"Селище",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"191",1385,25.216854,42.602335,"Селище",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"192",1393,25.202315,42.599351,"Селище",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"193",1394,25.209379,42.599622,"Бани",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"194",1395,25.210306,42.599229,"Манастир",0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1
"195",1399,25.206461,42.572181,"Манастир",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"196",1401,25.860979,42.606191,"Единична постройка",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"197",1410,25.825692,42.616466,"Селище",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"198",1411,25.830269,42.614474,"Селище",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"199",1412,25.877076,42.59322,"Селище",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"200",1416,25.86462,42.571651,"Крепост",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"201",1417,25.8826,42.585495,"Селище",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
"202",1418,25.849395,42.603981,"Селище",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"203",1424,25.732646,42.752874,"Селище",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
"204",1437,25.40753184,42.58798717,"Селище",0,1,0,0,0,0,0,0,2,0,2,2,1,1,1,0,0,0
"205",1439,25.41033755,42.56261718,"Селище",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"206",1449,25.414325,42.562692,"Селище",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"207",1451,25.494533,42.533697,"Селище",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"208",1452,25.491782,42.488174,"Селище",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"209",1455,25.537959,42.535624,"Крепост",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"210",1456,25.537662,42.53754,"Селище",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"211",1459,25.533417,42.525468,"Крепост",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"212",1469,25.537263,42.683828,"Селище",0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1
"213",1504,25.22300694,42.67878944,"Селище",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"214",1555,25.197077,42.677589,"Селище",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"215",1586,25.204832,42.682283,"Селище",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"216",1591,25.647321,42.696159,"Манастир/ черква?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"217",1592,25.65746,42.672917,"Селище",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"218",1623,25.298435,42.52291167,"Селище?",0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0
"219",1638,25.34085497,42.54991321,"Селище",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"220",1640,25.34894014,42.55005237,"Селище",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
"221",1644,25.372526,42.552517,"Селище",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"222",1647,25.320722,42.527042,"Селище",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"223",1648,25.352865,42.521556,"Селище",0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1
"224",1682,25.564256,42.556152,"Селищна могила",0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"225",1684,25.539247,42.580092,"Селище",0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
"226",1685,25.523373,42.55462,"Селище",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"227",1686,25.526124,42.562578,"Селище",0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
"228",1688,25.56901,42.560837,"Крепост/ селище?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"229",1702,25.14133,42.564268,"Селище",0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
"230",1703,25.17471,42.546037,"Селище",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"231",1712,25.194528,42.491639,"Манастир",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
"232",1714,25.171878,42.555765,"Селище",0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1
"233",1716,25.197904,42.557969,"Селище?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"234",1718,25.048487,42.665686,"Крепост",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0
"235",1726,25.10498,42.665274,"Селище",0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
"236",1727,25.104558,42.673573,"Крепост",0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,2,0
"237",1728,25.084188,42.670029,"Крепост",0,2,1,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0
"238",1730,25.04846,42.680009,"Крепост",0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,2,1,0
"239",1730,25.04846,42.680009,"Крепост/ светилище?",0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0
"240",1731,25.051205,42.666678,"Крепост",0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,2,1,0
"241",1736,25.051819,42.679905,"Селище",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"242",1737,25.067211,42.653612,"Селище",0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"243",1738,25.114324,42.659655,"Селище",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
